<ID> ,ratio[0]                ,ratio[1]                ,ratio[2]                ,ratio[3]                ,ratio[4]                ,ratio[5]                ,ratio[6]                ,ratio[7]                ,ratio[8]                ,ratio[9]                ,ratio[10]               ,ratio[11]               ,ratio[12]               ,ratio[13]               ,ratio[14]               ,ratio[15]               ,Cx,CY,CZ,CMx,CMY,CMZ
137,-0.060907484,-0.122414115,-0.165285317,-0.185638728,-0.019359441,0.010693175,-0.119646914,-0.090981303,-0.077822548,-0.065340494,-0.079006347,-0.033938555,-0.049898315,-0.026207968,-0.009640975,18.53013752,0.015097574,0.064731699,-0.023094686,-0.009210038,0.016651301,0.041118542
138,-0.180824454,-0.018907708,-0.199636778,-0.195265389,0.009499216,-0.124932866,-0.070730369,-0.008662807,-0.103678834,-0.00859437,0.013445938,-0.010266176,-0.055358733,-0.017751469,-0.019214902,3.155103328,0.01952534,0.082412587,-0.026319726,-0.015856592,0.020631008,0.056515333
139,-0.144685746,0.049511665,-0.105979421,0.007917625,-0.062407112,-0.145038524,-0.087516282,-0.035528518,-0.063031246,-0.019002035,-0.020893091,-0.029751308,-0.034624872,-0.029900463,0.017049233,8.920367309,0.017632614,0.079557341,-0.024991447,-0.013782782,0.019328344,0.054284104
140,0.017235442,0.046445986,-0.196197279,-0.073304675,0.036297948,-0.040459596,-0.079250837,0.015038999,-0.013742205,0.009669362,0.014872777,-0.059058782,-0.051781315,0.006536716,0.00336023,13.12085273,0.016676737,0.076539963,-0.025401398,-0.012499071,0.019641322,0.052660094
141,-0.04973603,-0.105505724,0.001594691,-0.090585877,-0.057639434,-0.104758975,-0.098376897,-0.003613635,-0.070022913,-0.043224727,-0.001092174,-0.043916998,-0.029099665,-0.010544958,0.012505906,11.83535843,0.016359367,0.074826092,-0.024394,-0.012321437,0.018454392,0.050337541
142,-0.077635806,-0.194907768,-0.087065881,-0.084185436,-0.153573785,0.034897076,-0.013103212,-0.077131097,-0.041567182,0.016239266,-0.006671687,-0.005943008,-0.05544668,-0.023288822,-0.020953542,5.913849579,0.017959756,0.081056967,-0.025362833,-0.015288468,0.019556832,0.055124646
143,-0.079857923,-0.055031682,-0.102557094,-0.032751344,-0.092183979,-0.121889282,-0.067437129,-0.100164261,-0.01111879,-0.026897821,-0.057911545,-0.010155353,-0.051446388,0.014868433,-0.047346973,6.323020324,0.018485655,0.081731117,-0.025567626,-0.014996032,0.019944067,0.055358057
144,-0.138212665,0.048808053,-0.186217406,0.000906258,-0.12473046,-0.031247946,-0.004660816,-0.091697878,-0.117413413,-0.035783396,-0.037959081,-0.007585807,-0.044265395,-0.034696727,0.00371311,0.297331045,0.020873852,0.089645995,-0.026614033,-0.017934558,0.021758674,0.061947649
145,-0.006723679,-0.103871012,0.006566428,-0.16237883,-0.135409515,-0.062674587,-0.041311381,-0.020372638,-0.091573105,0.017106129,0.003661608,0.002170222,0.019289915,-0.054798668,-0.019532414,12.32264703,0.016283365,0.07554818,-0.023878617,-0.012694914,0.01800811,0.050896153
146,-0.091128594,-0.11558354,-0.152674155,-0.140547215,0.042869368,-0.161123394,-0.012380277,-0.068953399,-0.017350464,-0.003290502,-0.025419243,-0.044546673,-0.034922039,-0.0080699,0.006096393,1.429632992,0.019230215,0.086418013,-0.025502441,-0.0172486,0.02021828,0.059585371
147,-0.075352888,-0.10737522,-0.000272386,-0.136032368,-0.169945971,0.009971695,-0.077238386,0.006492534,-0.101237923,0.003719513,0.019701455,0.000689045,-0.020066055,0.00116601,-0.024377275,2.911004865,0.018827421,0.084665935,-0.025517239,-0.016521774,0.020187172,0.058647018
148,0.001146269,-0.02449407,-0.106823714,-0.077367603,-0.078111095,0.007125278,-0.066958588,0.01271097,-0.064645693,-0.035469995,-0.003874268,-0.070115584,0.001140508,-0.002777093,-0.056125469,3.967524585,0.019484749,0.086884834,-0.025898745,-0.016835797,0.021171485,0.060683117
149,-0.002898129,-0.045894992,0.029803571,-0.182753379,0.032784887,-0.106413772,-0.08590659,-0.042719761,0.004120425,-0.05607446,0.002193402,-0.071729206,-0.027789257,-0.05966793,0.005993393,13.8165321,0.015961005,0.072675913,-0.024131895,-0.011314773,0.018335022,0.048991459
150,0.008976672,-0.002073931,0.032759617,0.001965011,-0.040470233,-0.167584957,-0.082730659,-0.031211447,0.005119545,-0.078030792,0.018485609,-0.068964414,-0.05615394,-0.003539088,-0.026500717,9.739776241,0.018004559,0.080519939,-0.025458027,-0.013586936,0.020062594,0.05539438
151,0.006741331,-0.013616436,-0.16071361,-0.072483515,0.044864113,-0.149822618,0.007739454,-0.104561804,-0.114330083,-0.0240684,-0.064806925,-0.040253258,-0.02731815,-0.030470826,0.007381097,12.6694081,0.018052085,0.078915688,-0.025883387,-0.013085082,0.020002359,0.053437384
152,0.030924552,-0.081528911,-0.000728997,-0.13496073,0.026793457,-0.070606122,-0.045254622,-0.029659221,-0.069510939,-0.029507738,-0.055727452,-0.019502423,-0.017976381,-0.006628692,-0.048558974,5.339315072,0.018387546,0.084462204,-0.025797224,-0.015607426,0.020626959,0.058616023
153,-0.003497223,-0.007028978,-0.025016955,0.019418175,-0.003878498,-0.011951876,-0.009471816,-0.060642689,-0.039415916,-0.045990446,-0.047109886,-0.079838912,-0.032015585,-0.012320976,-0.034089635,19.37639395,0.014956509,0.070999238,-0.023802162,-0.010300449,0.01815281,0.047973097
154,-0.192264685,-0.094116524,-0.154017899,-0.115735863,0.003517703,-0.063730252,-0.093832867,-0.078399347,-0.063548978,-0.06822587,-0.034861456,-0.058043904,-0.000272587,0.006895373,0.004756497,6.63288413,0.017816099,0.077966612,-0.025451099,-0.014207485,0.019509722,0.052558858
155,-0.14282223,-0.186167202,0.001021187,-0.00926551,-0.027678589,-0.022457364,-0.099968959,-0.116701326,-0.100969215,-0.077920308,-0.041186119,-0.060523789,-0.012817182,-0.056242281,0.016610716,4.357331373,0.019769064,0.083339047,-0.026753772,-0.015627984,0.021480682,0.056828384
156,-0.064191568,0.047096652,-0.148639889,-0.082930057,-0.064564791,-0.097833431,0.003194099,0.001642806,-0.008581755,-0.058501401,-0.030132233,-0.065116062,-0.044701977,-0.055882961,-0.008472747,19.16684335,0.014868162,0.068271388,-0.02305036,-0.009909393,0.016987116,0.044898159
157,-0.179113847,-0.182788005,0.021999465,-0.175765092,0.00042633,-0.017721216,-0.048281652,-0.075954253,-0.041778648,-0.01287551,-0.014496843,-0.047761916,-0.048356298,0.014063917,-0.01601733,11.48836175,0.016307032,0.072579138,-0.024360111,-0.01204654,0.018327308,0.048940897
158,-0.193956534,-0.06970981,-0.030644122,-0.168386986,-0.129642924,-0.137553875,-0.021478034,-0.103132121,-0.077509266,-0.063410771,0.012729272,0.011550634,-0.024475047,0.00076079,-0.03682545,13.7833403,0.015756654,0.069600319,-0.022887322,-0.011162082,0.016547275,0.045585352
159,-0.046638499,-0.138576214,-0.092521345,-0.186407948,-0.075573198,-0.068267134,-0.105389027,-0.040915415,-0.108140971,0.019034444,-0.061581203,-0.045222331,-0.026671358,-0.01918332,-0.021302572,4.844734602,0.019132341,0.082955907,-0.025955711,-0.015913116,0.020290156,0.056188815
160,0.023028293,-0.035720247,-0.068593078,0.040584166,0.034603913,-0.13182757,-0.008453893,-0.107358359,-0.043657523,-0.006198588,-0.047772816,-0.019943075,-0.010277498,-0.04999339,-0.032075938,7.769090282,0.019013129,0.085930673,-0.026536038,-0.0155799,0.02128181,0.059854979
161,-0.036316962,-0.175809734,-0.055266062,-0.075878478,-0.179511729,-0.055468923,-0.018611762,-0.006396743,-0.008057594,-0.058486167,-0.000946279,-0.079478866,0.007991123,-0.005168348,-0.006425542,8.03655325,0.017719309,0.079872724,-0.024797392,-0.01463819,0.018978694,0.054116654
162,0.042189963,0.035148995,-0.081190122,0.038670773,-0.022785039,0.005877453,-0.056306901,-0.079679589,0.01941465,-0.041463323,-0.060268188,0.000159043,0.006583478,0.016866413,0.012272132,15.83333445,0.015719343,0.07499561,-0.024556114,-0.011585226,0.018883154,0.051341513
163,-0.196023667,-0.150513881,0.043033888,-0.010184516,0.035062304,-0.077443173,0.009156123,-0.065893063,-0.010112912,-0.076682545,-0.05870972,-0.05604815,0.00317757,-0.011388193,-0.041119204,13.96808471,0.015851113,0.073137364,-0.023986734,-0.011788434,0.018354358,0.049778526
164,0.029103909,-0.034194892,-0.125917383,-0.001128603,-0.09795939,-0.021219909,0.011014846,-0.063654634,-0.040700743,-0.071175071,-0.054238732,-0.013317691,-0.059460849,-0.006096012,-0.055645957,11.16093188,0.017365682,0.078687594,-0.025481987,-0.013280579,0.01973981,0.05320287
165,0.002243356,0.028884004,-0.057834767,-0.02329133,-0.029777786,-0.113430303,-0.0549655,-0.062933558,-0.107892451,-0.023748724,0.009065962,-0.061201141,-0.016888204,-0.039939659,-0.04950357,10.26806581,0.018192224,0.081922589,-0.025793867,-0.014100517,0.020401721,0.056463515
166,0.021027071,-0.191464162,-0.168274037,0.048412305,-0.167748137,-0.095341497,-0.100790243,-0.075823361,-0.11118028,-0.030849523,0.011245725,-0.032984631,-0.008351796,-0.028646734,-0.036596471,12.92207061,0.018063834,0.077392493,-0.025915088,-0.013076372,0.019160218,0.050975039
167,-0.000408842,0.035728173,-0.143952304,-0.127044125,0.049093551,-0.096783099,0.008128139,-0.059072818,-0.054896086,-0.023317841,-0.003440149,-0.063060898,-0.013781314,-0.010616425,0.009271804,13.72358689,0.016429535,0.076172432,-0.024931544,-0.012329468,0.019084235,0.051968725
168,-0.084494162,-0.05610604,-0.010626893,-0.053209389,-0.039484892,-0.113027696,-0.112365311,-0.023879643,-0.102554308,-0.02013448,-0.044268758,-0.063594908,-0.041458974,0.013951409,-0.056249989,17.89268147,0.0155025,0.070007165,-0.023262337,-0.010430169,0.017409825,0.046434001
169,-0.127652734,-0.096250521,-0.074936611,-0.069419515,0.031060268,-0.000961924,-0.086520529,-0.06639077,-0.106886512,-0.045686054,-0.027202434,-0.006468905,-0.028919183,-0.020459252,-0.008618928,0.076039697,0.019971822,0.087698744,-0.026456104,-0.017468221,0.021575513,0.060968384
170,-0.146676631,-0.192842398,0.018238127,-0.106614859,-0.152392775,-0.127414718,-0.005983265,-0.043924281,-0.052552408,-0.003080866,-0.074660138,-0.073445829,-0.00585344,-0.052583114,-0.037935986,11.97757862,0.017173526,0.074615157,-0.024933495,-0.012879562,0.018766334,0.049712483
171,-0.035593144,-0.197647864,-0.081842686,-0.005844776,-0.044346722,-0.083105941,-0.014665418,-0.029967735,-0.069050087,-0.032145862,-0.022709638,-0.030861496,0.017570101,-0.022560804,-0.046052904,2.747783706,0.019315892,0.088306642,-0.026115812,-0.017641433,0.020872156,0.061258324
172,0.01511608,-0.010280965,0.040160428,-0.012765032,0.049920451,-0.026503596,0.012635862,-0.116203204,0.013135162,-0.057816181,-0.009855841,-0.03855075,0.012774574,-0.030909179,-0.019870654,13.22474711,0.016281853,0.078046685,-0.024647362,-0.012587562,0.019458946,0.05438256
