Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15], Cx , CY , CZ , CMx , CMY , CMZ 
35,-0.111547393,-0.141153812,-0.104144864,0.005117693,-0.036593739,-0.010084664,-0.010555732,-0.077408566,0.006017349,-0.006926728,-0.006503697,-0.007218051,-0.049403097,0.00657852,-0.000184169,18.71710176,0.014276824,0.067619346,-0.022825426,-0.010088037,0.016757798,0.04465798
36,-0.142979856,-0.102631522,-0.030167069,-0.086379877,-0.106529771,-0.007838404,-0.063788944,-0.00454291,-0.050264059,-0.048975695,-0.02311029,-0.075184781,-0.048721265,-0.043348569,-0.049414956,5.655132672,0.018581339,0.080670445,-0.025499195,-0.014914887,0.020271997,0.055166531
37,-0.012257254,-0.02005661,0.021469867,-0.19607805,-0.077210764,0.006178114,-0.045629671,0.012593198,-0.042866908,-0.039730312,-0.002068596,-0.057172465,-0.058589066,-0.037207861,-0.004669228,8.548600177,0.017440274,0.078226104,-0.02494385,-0.013354581,0.019629519,0.053678031
38,-0.02859365,-0.163555924,-0.0043201,-0.027686077,-0.024279617,-0.147685646,-0.068889832,-0.027764309,-0.061890396,-0.051272253,0.007678628,-0.028998636,-0.037037743,-0.004171059,0.016450978,18.01671019,0.015048009,0.069653314,-0.023163944,-0.01042109,0.016960103,0.045962346
39,0.00965966,-0.013788515,-0.033916327,-0.038901463,-0.17970456,-0.060563963,-0.115822186,-0.021138159,-0.010463467,-0.045808509,-0.060494174,0.017980901,0.017528861,0.012864992,-0.012304762,13.93472811,0.016142067,0.074100571,-0.023709167,-0.011836894,0.017762658,0.049488585
40,0.00026734,0.021475942,-0.14905145,-0.074123491,-0.098599818,-0.141088316,-0.091504535,-0.066430315,-0.039345709,0.015229551,-0.069651717,-0.053503895,-0.019254495,-0.027831795,0.000356637,4.703679307,0.019721556,0.086412666,-0.02620602,-0.016448596,0.02076872,0.059079121
41,-0.199956458,0.016451103,-0.051871947,-0.115365284,-0.047264721,0.026259264,-0.051428187,-0.000680297,-0.044632949,-0.036730484,-0.055733937,-0.031441624,0.015866983,-0.006407167,-0.006957013,7.079346879,0.017243239,0.078692733,-0.025031242,-0.014188833,0.019611452,0.054608413
42,-0.116785107,-0.19125145,-0.152696475,-0.043666763,-0.090431333,0.037989218,-0.078316882,0.01753547,-0.045789875,-0.040544393,-0.066363802,-0.024047078,-0.030163076,-0.01491553,-0.020526501,11.88911882,0.016146841,0.07309061,-0.024236986,-0.012312658,0.018148117,0.048627557
43,-0.073301729,-0.006034782,-0.082779129,-0.153697012,-0.189174787,0.019754727,-0.002994931,-0.094846379,-0.103004548,-0.00367921,0.01689777,-0.009445546,-0.003005245,-0.030248746,0.005836919,1.839162101,0.019039788,0.08616064,-0.025557544,-0.017139436,0.020333718,0.05946392
44,-0.116227823,-0.078300741,-0.170275187,0.025457926,0.045279144,-0.054417752,-0.053882278,-0.103330389,-0.055834677,-0.066899273,-0.037152939,-0.005628586,-0.04510252,-0.033064772,-0.052154176,1.468767062,0.02030341,0.087497346,-0.026864399,-0.017120727,0.021996441,0.060470297
45,-0.019054041,-0.160438259,-0.058130762,-0.140862997,0.01689031,0.049832936,-0.05734957,0.019946404,-0.02428185,0.017806903,0.001094696,-0.058879489,-5.86E-05,-0.035987336,-0.047843541,15.12096566,0.015809269,0.072731519,-0.023984759,-0.011699517,0.018407601,0.049526488
46,-0.156270066,-0.038028798,-0.155193898,-0.126666887,0.026475767,-0.125667529,0.000173182,-0.013760677,-0.116954566,0.013660515,-0.026745657,0.003814239,-0.017560579,-0.024995817,-0.051580867,9.81572495,0.017609384,0.078341745,-0.025336208,-0.013809639,0.019581023,0.053624952
47,0.024177073,-0.072936234,-0.138625054,-0.143807416,-0.138631871,-0.15880358,-0.108226402,-0.053622236,-0.003553758,-0.013223684,-0.029579989,0.008000746,-0.056819792,0.017102725,-0.046290184,17.50452498,0.015862461,0.068890734,-0.022683868,-0.010306429,0.016266117,0.044178882
48,-0.084616556,-0.090292452,0.002725762,-0.064365921,-0.131345485,-0.067837625,-0.074025937,-0.113286135,-0.083940453,-0.072270671,-0.07669522,-0.002984944,-0.043838988,-0.059628872,-0.01373215,19.39553888,0.015275099,0.066057116,-0.022843712,-0.009239335,0.016629864,0.042309371
49,-0.089239918,-0.167177242,-0.025622193,-0.136882159,-0.119493414,-0.063485599,-0.105839263,0.008528151,0.000259842,-0.077126729,-0.004899659,-0.055229756,-0.014997781,-0.054106211,-0.026029211,9.371363316,0.017380577,0.075078685,-0.02474111,-0.012944897,0.018726326,0.050104861
50,-0.107939673,-0.003998575,0.037703296,0.024759332,-0.06255912,-0.107647316,0.002166542,-0.026324531,-0.019040691,0.006823966,-0.079782947,-0.077980848,0.017297888,-0.034405243,-0.037573253,15.924708,0.015985833,0.074648721,-0.024360437,-0.011834369,0.018853736,0.051090804
51,0.028047503,-0.110427614,-0.161807647,-0.035666823,0.049931894,-0.098407657,-0.102149231,-0.080489713,-0.098789158,-0.04278657,-0.023499008,-0.036342858,0.005570024,0.013727409,-0.055490672,12.02014869,0.01751101,0.078542076,-0.025818981,-0.013239881,0.019809794,0.053116809
52,-0.00557616,-0.008784752,-0.010860224,-0.04979913,-0.027871372,-0.050287809,-0.061086122,-0.040004118,0.004548019,-0.017731448,-0.048200752,0.012708615,-0.006929674,0.000246934,0.019470698,7.351632156,0.017196081,0.081790161,-0.025009228,-0.014583384,0.019752987,0.056988224
53,-0.189524346,-0.093656672,-0.072462406,-0.161828527,-0.007268142,-0.196680756,-0.022936741,0.014814319,-0.068565566,-0.043968158,-0.054066177,0.001982294,-0.059706635,-0.021461677,-0.002400701,3.513257726,0.019234179,0.081703004,-0.02558933,-0.015523489,0.020165502,0.055780767
54,-0.175033542,-0.13326482,-0.163776205,0.001275091,0.034446881,-0.016297376,-0.08210613,-0.118815904,-0.09190998,-0.014946793,-0.043464624,-0.060029658,-0.023325609,-0.042585307,-0.016126846,7.762262404,0.01799489,0.079874745,-0.02566478,-0.014515564,0.02015844,0.054335963
55,-0.122195033,-0.084990219,-0.124118451,0.009297234,-0.011139555,-0.046855179,-0.089267901,-0.074169857,0.00853269,-0.001810042,-0.057321382,-0.022776054,-0.051330421,-0.038271409,0.003830903,5.283009606,0.018232319,0.082434993,-0.025713682,-0.015368128,0.020385227,0.056637876
56,0.017638284,-0.021724029,-0.176055712,-0.082033389,0.009891317,-0.130710127,-0.044034273,-0.008522403,-0.069325119,-0.060734739,-0.06315541,-0.067236618,-0.001471649,-0.052603087,-0.010852833,16.65067182,0.016266381,0.072892992,-0.024905857,-0.011232245,0.018645964,0.048429188
57,-0.076579321,0.031000362,-0.126491553,-0.13302665,0.004493434,-0.017948885,-0.037813953,-0.078980608,-0.109381743,-0.025107329,-0.026494329,-0.034893073,-0.024526886,-0.0141479,0.00957668,19.84407293,0.014632548,0.06716058,-0.022657461,-0.00948488,0.016653425,0.04427073
58,0.006873385,-0.173394549,0.046846185,-0.054184946,0.02466292,-0.041952002,-0.007041921,-0.072624953,-0.04981082,-0.033026487,-0.020222538,-0.06876094,0.007897905,0.015094872,0.002170895,12.81715555,0.016258742,0.07724755,-0.024682837,-0.012817266,0.019041726,0.053069144
59,0.040935661,-0.098902221,0.005577836,-0.103520885,-0.149984851,-0.088805888,-0.02568923,-0.049517861,-0.094700357,0.002191084,-0.010873918,0.005490377,-0.037509248,-0.011115012,-0.042497539,0.298588637,0.019940497,0.090220098,-0.025835998,-0.018132818,0.020717861,0.062457007
