<ID>,dv_0,dv_1,dv_2,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15, Cx , CY , CZ , CMx , CMY , CMZ 
167,-1.63E-01,4.27E-02,-2.72E-03,-1.55E-01,-1.21E-01,-1.90E-01,-4.57E-02,-8.34E-02,-5.57E-02,-7.31E-03,1.31E-02,-7.52E-02,-3.77E-02,4.91E-03,1.54E-02,-4.37E+01,0.061891,0.418908,0.005982,-0.110543,0.001843,0.243037
168,-6.23E-03,-7.04E-02,-9.12E-02,-1.66E-01,-1.71E-02,4.96E-02,-1.08E-01,1.07E-02,-1.10E-01,-7.23E-02,-2.89E-02,-5.95E-02,-2.40E-02,-1.96E-02,-3.95E-02,-4.01E+01,0.064201,0.397848,0.001249,-0.097541,0.00668,0.232718
169,-1.36E-01,-1.72E-01,-4.33E-02,3.59E-02,2.47E-02,-1.89E-01,5.07E-03,-5.09E-02,-6.28E-02,-6.97E-02,-2.31E-02,-4.98E-02,-6.14E-03,9.98E-03,1.11E-03,-2.28E+01,0.059057,0.391369,-0.000186,-0.097296,0.004665,0.238156
170,-1.11E-01,-4.05E-02,-3.32E-02,-1.11E-01,-1.08E-01,-3.50E-02,-1.18E-01,-1.01E-01,-3.15E-02,-3.95E-02,-3.10E-02,-7.68E-02,-5.35E-03,-2.81E-02,-5.36E-02,-2.45E+01,0.061549,0.384106,-0.003954,-0.089222,0.00906,0.233484
171,-1.09E-01,-8.56E-02,-1.89E-01,-1.96E-01,3.40E-02,-8.89E-02,-2.39E-03,-7.16E-02,-9.73E-02,1.35E-02,-6.08E-02,-1.55E-02,-2.29E-02,8.14E-03,-1.86E-02,-4.18E+01,0.059944,0.417197,0.006556,-0.112218,0.00088,0.241923
172,3.51E-02,-5.95E-02,-3.51E-02,-1.77E-01,-1.03E-01,-3.16E-02,-6.27E-02,9.68E-03,-1.15E-01,-6.83E-02,1.61E-02,-1.36E-02,-4.17E-02,-2.34E-02,1.75E-02,-3.36E+01,0.063003,0.426657,-0.002017,-0.109803,0.007906,0.258393
173,-1.91E-01,-1.40E-01,-1.22E-01,-5.77E-02,-1.01E-01,-1.88E-01,-6.59E-02,5.53E-03,-9.96E-02,-5.54E-02,-9.22E-03,3.77E-03,1.06E-02,-5.78E-02,-1.51E-02,-2.57E+01,0.059159,0.394819,0.00282,-0.101669,0.00268,0.238722
174,-1.82E-01,-1.80E-01,-1.98E-01,-1.06E-01,-5.18E-02,3.09E-02,3.91E-03,-8.63E-02,-9.70E-02,-4.40E-02,-1.47E-03,6.58E-03,-3.23E-02,-4.22E-02,-1.04E-03,-4.07E+01,0.062205,0.436409,0.002654,-0.11736,0.005561,0.260886
175,-4.73E-02,-1.03E-01,-1.59E-01,2.94E-02,-8.73E-02,3.06E-02,-1.44E-02,1.82E-02,-7.44E-02,1.40E-02,-1.64E-02,-1.37E-03,-1.77E-02,-2.76E-02,-3.19E-02,-4.49E+01,0.061744,0.477377,0.000092,-0.129702,0.006727,0.287731
176,-1.40E-01,-1.46E-01,2.12E-02,-1.03E-01,-5.90E-02,-1.30E-01,-1.16E-01,-1.49E-02,-1.16E-01,-4.26E-02,-2.68E-02,-3.44E-02,1.82E-02,-3.76E-02,1.43E-02,-2.79E+01,0.060667,0.396583,0.000035,-0.10001,0.005415,0.238377
177,-1.68E-01,-1.16E-01,-1.72E-01,-4.28E-02,-8.92E-02,-1.47E-01,-4.32E-02,-2.86E-02,-4.93E-02,-2.39E-02,-2.99E-02,-3.58E-02,4.75E-04,-4.02E-03,-4.02E-02,-2.48E+01,0.058335,0.390993,0.001332,-0.097824,0.003705,0.236774
178,1.10E-02,-1.51E-01,-6.26E-02,-2.19E-02,-1.62E-01,-1.41E-01,-7.45E-02,-3.40E-02,-1.11E-01,-5.38E-02,-3.44E-02,-6.23E-02,-3.27E-02,-1.65E-02,1.69E-02,-3.30E+01,0.062011,0.371537,0.005243,-0.093113,0.001283,0.212795
179,-1.13E-01,-8.26E-02,-5.32E-02,-1.48E-01,-1.74E-01,-1.05E-01,3.41E-03,-1.39E-02,-3.53E-02,-7.59E-02,-7.57E-02,-6.65E-02,-1.09E-02,-1.55E-02,-3.45E-02,-2.90E+01,0.061941,0.387202,-0.00047,-0.092604,0.00698,0.233046
180,-1.29E-01,2.49E-02,-1.46E-01,1.24E-02,-1.83E-01,-1.39E-01,-3.04E-02,2.60E-03,-8.36E-02,-6.01E-02,3.23E-03,-2.55E-02,6.09E-03,1.12E-02,-4.63E-02,-3.36E+01,0.060119,0.409736,0.003461,-0.105967,0.002247,0.243
181,8.68E-03,-4.84E-04,-3.26E-02,-6.65E-02,-1.89E-01,-9.06E-02,-1.14E-01,-1.13E-01,-1.06E-02,-5.47E-02,-3.30E-02,-2.86E-02,-4.25E-02,7.82E-03,-2.72E-02,-3.04E+01,0.064495,0.424817,-0.003528,-0.106074,0.009206,0.261687
182,-1.31E-01,-3.49E-02,-1.07E-01,-9.69E-02,-1.78E-01,-1.97E-01,-9.01E-02,1.54E-02,-1.80E-02,-3.36E-02,1.90E-03,-2.85E-02,-2.18E-03,1.88E-02,-4.58E-02,-3.51E+01,0.061733,0.436605,0.001682,-0.114119,0.004744,0.265853
183,-1.24E-02,2.22E-02,-6.69E-02,-1.54E-01,-1.59E-01,-1.01E-01,-1.18E-01,-3.77E-02,-9.51E-02,5.41E-03,-3.64E-02,-7.22E-02,1.98E-02,-5.91E-02,-2.80E-03,-2.15E+01,0.05784,0.364795,-0.000127,-0.087158,0.003872,0.216493
184,-1.45E-01,-9.12E-02,-7.70E-02,-7.30E-02,-6.82E-02,-1.58E-01,-1.84E-02,-6.76E-02,-2.67E-02,-4.47E-02,-1.78E-02,1.84E-02,-1.09E-04,-3.22E-02,-5.95E-02,-3.29E+01,0.062711,0.441715,-0.000233,-0.114377,0.006724,0.272664
185,-4.60E-03,-9.62E-02,-1.55E-01,-3.15E-02,-1.93E-01,-1.28E-01,-6.39E-02,-1.19E-01,-1.05E-01,-3.06E-02,-3.72E-02,1.86E-02,1.34E-02,-1.94E-02,-4.46E-03,-4.68E+01,0.062711,0.4328,0.009655,-0.122282,-0.001558,0.247796
186,-1.97E-01,-1.74E-01,-7.53E-03,4.18E-02,-2.32E-02,4.86E-02,-8.43E-02,-6.85E-03,-6.85E-02,-4.97E-02,-5.09E-03,-6.80E-02,-5.26E-02,-1.99E-02,1.10E-02,-4.49E+01,0.065034,0.441599,-0.000704,-0.113315,0.009706,0.264815
187,-1.77E-01,-9.86E-02,-1.20E-01,-1.22E-01,3.03E-02,-1.94E-01,1.56E-02,-1.05E-01,-6.69E-02,-2.13E-02,-5.59E-02,-3.23E-02,-2.05E-02,1.89E-02,-4.22E-02,-4.61E+01,0.060911,0.41748,0.010007,-0.113178,-0.00122,0.239228
188,-2.16E-03,2.13E-02,-1.97E-01,-1.53E-01,1.24E-02,-8.03E-02,-8.22E-02,1.90E-02,-7.25E-02,1.96E-02,7.86E-03,7.41E-03,-4.21E-02,-5.52E-02,-5.75E-02,-2.35E+01,0.05899,0.412827,-0.00278,-0.103059,0.006475,0.255209
189,-1.34E-01,-1.02E-01,-8.63E-02,-6.18E-02,-1.75E-01,-1.19E-01,-3.56E-02,-9.02E-02,9.47E-03,1.93E-02,-1.69E-02,-5.24E-02,-7.21E-03,-2.40E-02,-4.46E-02,-2.53E+01,0.059902,0.409932,-0.002372,-0.100818,0.007361,0.253483
190,-4.79E-02,-1.86E-01,-1.23E-01,4.34E-02,-6.66E-02,-3.58E-02,-2.51E-03,-1.06E-01,-1.11E-01,1.63E-02,-8.64E-03,1.73E-03,-5.58E-02,-3.66E-03,-1.56E-02,-4.80E+01,0.061904,0.447062,0.006635,-0.12419,0.001428,0.258609
191,-1.28E-02,-3.98E-02,7.65E-03,-4.87E-02,-5.07E-02,-8.58E-02,-4.20E-02,-2.70E-03,-6.59E-02,-5.51E-02,-3.14E-02,-4.60E-02,-3.11E-02,1.91E-02,-3.91E-02,-3.55E+01,0.063237,0.422849,-0.001436,-0.105265,0.007539,0.254717
192,-8.40E-02,-3.34E-02,-4.45E-02,-1.60E-01,-1.20E-01,-5.47E-02,1.13E-02,7.12E-03,-1.13E-01,-6.07E-02,-8.98E-03,-2.39E-03,5.00E-03,-5.39E-03,-2.68E-02,-3.05E+01,0.060557,0.421828,-0.001676,-0.107875,0.006907,0.2567
193,-9.87E-02,-4.36E-02,2.81E-02,-1.59E-01,-1.48E-01,-5.09E-02,1.95E-02,-5.87E-02,1.43E-02,-2.71E-02,5.43E-03,-1.66E-02,2.52E-03,-5.34E-02,6.58E-03,-3.43E+01,0.064232,0.48208,-0.007548,-0.124853,0.013461,0.305876
194,3.73E-02,-1.99E-01,-1.41E-01,3.02E-02,-6.34E-02,-4.77E-02,3.63E-03,-9.75E-02,-3.55E-02,-3.63E-02,1.01E-02,-7.91E-02,-4.53E-03,-1.87E-02,-4.65E-02,-2.54E+01,0.059642,0.386183,-0.001327,-0.092469,0.005678,0.231906
195,-8.22E-02,-1.32E-01,-1.15E-01,-3.86E-02,2.09E-02,-1.03E-01,-6.94E-02,-1.06E-03,-8.16E-02,-2.47E-02,4.76E-03,9.91E-04,-3.41E-02,1.07E-02,-5.98E-04,-4.10E+01,0.062058,0.456951,0.002197,-0.124416,0.004592,0.274809
196,2.77E-02,-7.86E-02,-1.28E-01,-1.57E-01,-7.95E-02,1.23E-02,1.39E-02,-2.49E-02,-1.05E-01,-7.73E-02,1.38E-02,-2.49E-02,1.79E-03,-2.52E-02,-1.10E-02,-2.23E+01,0.058893,0.400061,-0.004264,-0.098748,0.007978,0.246068
197,3.02E-03,-7.20E-02,-1.81E-01,-1.25E-01,-1.81E-01,-1.31E-01,-9.83E-02,-2.53E-02,2.00E-02,-5.01E-02,-2.57E-02,1.66E-02,-1.62E-02,1.33E-02,1.58E-02,-2.83E+01,0.063442,0.46239,-0.004045,-0.123206,0.009479,0.293914
198,-1.76E-01,-1.47E-01,-1.87E-01,1.37E-02,-9.93E-02,-9.10E-02,-1.04E-01,-6.53E-02,-8.26E-02,1.18E-02,-1.67E-02,-6.61E-02,-7.10E-03,7.80E-03,1.64E-02,-3.88E+01,0.060054,0.395795,0.006569,-0.10395,0.000639,0.22756
199,-1.48E-01,-3.10E-02,-1.15E-01,-1.91E-01,-9.26E-02,1.36E-02,2.77E-03,-1.52E-04,-1.26E-02,-5.82E-02,2.61E-03,-1.56E-02,6.25E-03,-2.83E-02,-5.73E-02,-3.84E+01,0.063658,0.472802,-0.004332,-0.122736,0.011405,0.295134
200,-3.25E-02,-1.14E-01,-1.49E-01,-1.40E-01,-1.51E-01,-1.02E-01,-9.29E-02,-3.04E-02,-4.51E-02,-1.40E-02,1.76E-04,1.24E-02,-3.51E-02,-9.01E-03,1.47E-02,-4.37E+01,0.063447,0.470747,0.002767,-0.130807,0.004933,0.284376
201,-1.85E-01,-1.20E-01,-8.05E-02,-7.77E-02,-1.14E-01,-6.90E-02,1.63E-02,-3.01E-02,-1.17E-01,1.77E-02,-1.53E-02,-7.49E-02,-3.95E-02,-3.49E-02,-2.15E-02,-2.08E+01,0.056687,0.3497,0.001181,-0.081726,0.003432,0.205059
202,-6.91E-02,-2.01E-02,1.65E-02,3.93E-02,-1.13E-01,-1.07E-01,-7.49E-02,-5.18E-02,-8.65E-02,-4.43E-03,1.98E-02,1.96E-02,-3.03E-02,-6.33E-03,8.38E-03,-4.75E+01,0.063675,0.490158,0.002099,-0.137558,0.005061,0.293013
203,-1.75E-02,4.57E-02,-1.91E-01,-4.46E-02,-1.15E-01,-1.71E-03,-2.93E-02,-1.02E-01,-3.99E-02,2.96E-03,-2.46E-02,-7.13E-02,-6.57E-03,1.27E-02,-1.53E-02,-2.40E+01,0.058863,0.396195,-0.003075,-0.096865,0.00664,0.240697
204,1.37E-03,-1.90E-01,-1.08E-01,-1.04E-01,-1.55E-01,-7.20E-02,-4.24E-02,-1.19E-01,-1.03E-01,-6.41E-02,9.94E-03,-4.23E-02,-3.43E-02,-2.22E-02,-1.65E-02,-3.00E+01,0.061117,0.374892,0.002978,-0.093518,0.003009,0.21895
205,-1.69E-01,-1.57E-01,-8.35E-02,-1.43E-01,-8.51E-02,-9.49E-02,-5.16E-02,-1.15E-01,-8.51E-04,-3.11E-02,-4.40E-02,-7.95E-02,-2.62E-02,-1.90E-02,-5.11E-02,-2.52E+01,0.061057,0.378379,-0.001195,-0.088809,0.007324,0.229124
206,-7.62E-02,4.15E-02,-1.56E-01,-2.69E-02,-3.74E-02,3.76E-02,-1.37E-02,-4.49E-02,-2.52E-02,-2.12E-02,-7.77E-02,-5.32E-02,-1.85E-02,-4.86E-02,-1.67E-02,-2.63E+01,0.062281,0.412085,-0.005963,-0.098664,0.010855,0.254355
207,-2.01E-02,-1.00E-01,-5.28E-02,-9.42E-02,-1.46E-01,-1.40E-01,1.77E-02,1.02E-02,-1.16E-01,-2.87E-02,-3.73E-02,1.49E-02,-1.41E-02,1.16E-04,-3.98E-02,-2.69E+01,0.059528,0.405283,0.000681,-0.103477,0.003972,0.245257
208,4.15E-02,-1.65E-01,-5.42E-02,-1.18E-01,-2.91E-02,-3.77E-02,-5.03E-02,-5.43E-02,-2.56E-02,-4.41E-02,-5.39E-02,-7.40E-02,1.48E-02,1.46E-02,1.79E-02,-4.19E+01,0.0637,0.440452,-0.000279,-0.114316,0.007382,0.264293
209,-3.49E-02,-6.79E-02,-6.01E-02,-9.71E-02,-1.31E-01,-1.72E-01,-1.20E-01,-7.92E-02,-4.46E-02,-6.11E-02,-5.96E-02,2.79E-03,-2.24E-02,-5.79E-02,-9.42E-04,-2.18E+01,0.061415,0.39548,-0.002025,-0.098121,0.006812,0.244445
210,-5.22E-02,-5.70E-03,-1.38E-01,-1.30E-01,-1.94E-01,-1.34E-01,-6.97E-02,-8.17E-02,-4.31E-03,2.70E-03,4.62E-03,-3.92E-02,-1.18E-02,-3.69E-02,-2.86E-02,-4.70E+01,0.06245,0.457343,0.004792,-0.124383,0.003175,0.271331
211,-8.44E-03,-1.10E-01,-2.20E-02,-7.43E-02,-5.26E-04,2.09E-02,-1.20E-02,-2.24E-02,-1.20E-01,-6.61E-02,-5.49E-02,-7.82E-02,-6.87E-03,7.25E-03,-5.76E-02,-4.06E+01,0.063492,0.383468,0.003019,-0.092192,0.005016,0.21946
212,-8.00E-02,-9.70E-02,1.53E-02,-1.29E-01,-3.62E-02,-1.85E-01,-2.74E-02,-7.42E-02,-9.28E-02,1.12E-02,-7.02E-03,-3.02E-02,-9.73E-03,-4.42E-02,-2.70E-02,-2.53E+01,0.058846,0.389334,0.000844,-0.096449,0.003654,0.233687
213,-6.14E-02,-1.47E-02,3.52E-02,3.55E-02,4.60E-02,3.32E-02,-1.56E-02,-1.14E-01,-8.45E-02,-3.70E-02,-2.38E-02,-5.44E-02,-4.74E-02,-3.36E-02,-1.81E-02,-2.70E+01,0.063306,0.404769,-0.006649,-0.095261,0.011465,0.246499
214,-9.64E-02,-1.02E-01,-1.65E-01,-5.95E-02,-1.55E-01,-6.77E-02,-2.30E-02,-3.96E-02,7.70E-03,1.81E-02,-6.56E-02,-3.14E-02,-5.24E-02,-5.53E-02,8.01E-03,-2.47E+01,0.061336,0.416874,-0.00396,-0.10348,0.009371,0.260595
215,3.23E-02,2.67E-02,-1.50E-01,-1.11E-02,-1.98E-01,4.07E-02,-1.04E-02,-1.01E-02,-8.69E-02,3.84E-03,-4.92E-02,-4.72E-02,-1.74E-02,-1.15E-02,9.82E-03,-3.97E+01,0.061762,0.428493,0.000277,-0.11106,0.005786,0.253352
216,-1.48E-01,1.54E-02,-9.66E-02,-3.91E-02,4.87E-02,-1.08E-01,-4.39E-03,-7.11E-02,-9.76E-02,-8.76E-03,-1.98E-02,-3.01E-03,1.64E-02,-1.62E-02,-1.44E-02,-2.85E+01,0.059164,0.419632,-0.000374,-0.108252,0.004735,0.254682
217,-8.51E-02,1.77E-02,-1.62E-01,-7.65E-02,-2.70E-02,-3.68E-02,-8.89E-02,-1.11E-01,-2.46E-02,-5.65E-02,-1.92E-02,-1.27E-02,6.77E-03,2.97E-03,-5.97E-02,-4.93E+01,0.063955,0.474994,0.003229,-0.13053,0.005267,0.283368
218,4.89E-03,-8.01E-02,-3.85E-02,-9.97E-02,6.23E-03,-2.72E-02,-4.77E-02,-6.18E-03,1.77E-03,1.52E-02,-5.72E-02,1.89E-03,-2.54E-02,-4.00E-02,1.13E-02,-4.19E+01,0.065532,0.503268,-0.005459,-0.134216,0.012185,0.314881
219,-8.17E-02,-1.43E-01,-1.21E-01,-1.96E-01,-1.27E-02,-9.24E-02,-2.69E-02,-1.14E-02,-3.37E-02,-2.48E-02,1.53E-02,-1.05E-02,-3.05E-02,-2.10E-02,-4.71E-02,-2.69E+01,0.060455,0.428813,-0.003352,-0.108163,0.008618,0.267716
220,-1.70E-01,-1.92E-01,-9.52E-02,2.80E-02,-1.16E-01,-1.38E-02,-1.07E-01,-3.64E-02,-8.42E-02,-6.39E-02,-2.37E-02,-2.24E-02,-1.27E-02,-1.10E-02,-2.51E-03,-2.34E+01,0.060423,0.401857,-0.003772,-0.099905,0.008827,0.248529
221,-1.85E-02,3.47E-03,-2.92E-02,-3.46E-03,-1.27E-01,-7.54E-02,-9.90E-02,-3.52E-02,-3.84E-02,-4.49E-02,-1.33E-02,-7.83E-02,-3.19E-02,5.36E-03,-5.66E-02,-4.33E+01,0.064523,0.418608,0.002552,-0.104535,0.005488,0.246477
222,-1.74E-01,1.38E-02,-5.58E-02,-1.50E-02,-1.77E-01,2.93E-02,-1.45E-03,-1.81E-02,4.57E-03,-3.18E-02,1.42E-02,-3.26E-02,-3.37E-02,-1.74E-02,-3.08E-02,-4.58E+01,0.064969,0.50273,-0.00411,-0.134258,0.011901,0.311562
223,-1.80E-01,-1.23E-02,-1.32E-01,-1.71E-01,-1.71E-01,-6.50E-02,-5.54E-02,5.94E-03,1.67E-02,-6.68E-02,-1.50E-02,-2.94E-04,-2.94E-02,-4.59E-02,-2.75E-02,-2.60E+01,0.063479,0.444666,-0.006507,-0.111897,0.012551,0.28425
224,-4.01E-02,-4.80E-02,-1.93E-01,3.98E-02,-1.87E-01,1.98E-02,-4.67E-02,-7.77E-03,-3.88E-02,-4.12E-02,1.74E-02,1.37E-02,-1.34E-02,2.00E-02,-5.04E-02,-2.33E+01,0.060617,0.44102,-0.006819,-0.111953,0.010621,0.280268
225,-4.58E-02,-5.83E-02,1.09E-02,-6.27E-02,-7.01E-02,-1.95E-01,-8.61E-02,-7.19E-02,-5.75E-02,-6.13E-02,-1.42E-02,-7.27E-02,3.70E-03,5.70E-03,-2.95E-02,-4.15E+01,0.063173,0.40246,0.005906,-0.10258,0.001747,0.232806
226,-1.22E-01,-1.88E-01,-1.66E-01,-3.24E-02,-2.16E-02,2.64E-03,-1.08E-01,-7.76E-02,-2.08E-02,-4.75E-02,-6.91E-03,-1.88E-02,-5.13E-02,-4.49E-02,-1.25E-02,-2.71E+01,0.06299,0.42463,-0.00492,-0.10602,0.010931,0.265568
227,-1.25E-01,-1.78E-01,-7.58E-02,-4.10E-02,-1.63E-01,2.75E-02,-6.11E-02,-9.71E-02,1.25E-02,-3.61E-02,-6.66E-02,-3.35E-02,-4.33E-04,1.60E-03,-2.56E-02,-3.94E+01,0.06547,0.452798,-0.00313,-0.116124,0.010887,0.279707
228,-2.69E-02,-8.75E-02,-6.56E-02,-1.52E-02,2.21E-03,-1.54E-01,-3.92E-03,-7.79E-02,-2.43E-02,-7.04E-02,1.76E-02,-6.26E-04,1.35E-02,1.21E-02,-3.38E-02,-4.82E+01,0.063276,0.499789,0.00281,-0.140697,0.004554,0.301059
229,-1.71E-01,4.85E-02,-1.52E-01,-9.14E-02,-2.41E-02,-6.99E-02,-9.60E-02,-5.24E-02,-3.42E-02,-3.69E-02,-5.22E-02,-2.33E-02,-1.71E-03,-2.83E-03,-1.01E-02,-3.09E+01,0.061998,0.429281,-0.002286,-0.109687,0.007882,0.263935
230,-3.18E-02,-1.06E-01,-8.74E-03,-6.34E-02,8.73E-03,-4.74E-02,-3.61E-02,-7.02E-02,-6.42E-02,-6.70E-03,-3.87E-02,-4.29E-02,1.57E-02,4.15E-03,-2.36E-02,-2.18E+01,0.059107,0.405263,-0.005676,-0.098052,0.009019,0.251083
231,1.03E-02,-1.48E-01,-1.97E-02,-3.33E-02,-1.35E-01,-1.44E-01,1.87E-02,-1.02E-01,-1.09E-01,-6.25E-02,-6.63E-02,4.53E-03,8.93E-03,1.72E-02,5.51E-03,-4.94E+01,0.063395,0.447312,0.008815,-0.126851,-0.000227,0.256823
232,-1.12E-01,-1.25E-01,-5.23E-02,-1.21E-01,-5.36E-02,4.91E-02,-6.52E-02,1.31E-02,-8.35E-02,-2.23E-02,-6.76E-02,1.81E-02,-3.71E-02,1.77E-02,-5.17E-03,-4.34E+01,0.064575,0.476786,-0.0025,-0.128392,0.010354,0.291994
233,7.70E-03,-3.53E-02,-6.76E-02,3.66E-03,-1.26E-01,2.47E-02,5.47E-03,-9.03E-02,-6.75E-02,-6.05E-02,-2.86E-02,-1.81E-03,-5.64E-02,-8.90E-03,-1.22E-02,-3.27E+01,0.064388,0.435159,-0.004343,-0.109976,0.010129,0.267371
234,-1.03E-02,-1.18E-01,-1.81E-01,-1.58E-01,-1.07E-01,-6.60E-02,-9.19E-02,-1.15E-01,1.51E-02,-5.50E-02,-1.89E-02,-2.41E-02,-3.55E-02,-5.16E-02,-3.81E-02,-2.57E+01,0.062862,0.41133,-0.003341,-0.101551,0.009088,0.255798
235,-1.56E-01,1.10E-02,1.25E-02,-1.90E-01,-8.85E-02,2.99E-02,-7.65E-02,-7.47E-02,-9.05E-02,-7.57E-03,-3.03E-03,-2.18E-02,-1.49E-02,4.45E-03,8.89E-03,-2.84E+01,0.061533,0.435267,-0.006908,-0.110154,0.011511,0.271038
236,-4.27E-02,-1.49E-01,-1.99E-01,1.82E-02,4.02E-02,4.24E-02,-5.69E-02,-5.14E-02,-6.39E-02,-4.62E-02,-8.10E-03,9.43E-03,-9.03E-03,-2.15E-02,-8.25E-03,-3.31E+01,0.062745,0.452043,-0.003732,-0.118046,0.009369,0.279749
237,-2.41E-02,-1.37E-01,-5.86E-02,-6.70E-02,-1.06E-01,-2.00E-01,-9.37E-02,-8.11E-02,-5.82E-02,9.34E-03,-1.46E-02,-4.96E-02,1.23E-03,-3.38E-02,-4.42E-02,-4.57E+01,0.061537,0.413959,0.008678,-0.109783,-0.000762,0.237064
238,-1.66E-01,-4.53E-02,-1.17E-02,2.22E-02,-8.08E-02,-6.19E-02,-2.11E-02,-1.85E-02,1.22E-02,-1.10E-02,-2.10E-02,-5.54E-02,1.84E-03,3.72E-03,1.27E-02,-3.94E+01,0.063679,0.481076,-0.00472,-0.126026,0.011083,0.299079
239,5.64E-03,1.28E-02,1.37E-02,5.17E-04,-1.13E-01,-1.00E-01,-1.13E-01,-6.05E-02,-5.89E-02,8.49E-03,-4.35E-02,-3.47E-02,-2.86E-02,2.69E-03,-1.18E-02,-4.15E+01,0.063951,0.437188,0.00093,-0.113172,0.005734,0.259993
240,2.98E-02,-1.26E-01,-4.69E-02,-1.82E-01,-1.17E-01,-1.10E-02,8.57E-03,1.18E-02,-3.31E-02,-5.19E-02,1.06E-02,-1.45E-02,1.00E-02,-3.36E-04,-5.49E-02,-2.80E+01,0.061515,0.447957,-0.007293,-0.112216,0.011866,0.282713
241,-4.01E-02,-4.80E-02,-1.93E-01,3.98E-02,-1.87E-01,1.98E-02,-4.67E-02,-7.77E-03,-3.88E-02,-4.12E-02,1.74E-02,1.37E-02,-1.34E-02,2.00E-02,-5.04E-02,-2.33E+01,0.060617,0.44102,-0.006819,-0.111953,0.010621,0.280268
242,-1.44E-02,-9.27E-02,-3.13E-02,-1.44E-01,-4.63E-03,-1.44E-01,1.30E-02,-3.13E-03,-7.58E-02,-7.40E-02,1.68E-02,-4.48E-02,-5.43E-02,1.61E-02,6.33E-03,-3.17E+01,0.061611,0.416607,-0.000248,-0.106076,0.005928,0.251561
243,-1.87E-01,3.74E-02,-1.02E-01,7.14E-03,3.60E-02,-2.00E-02,-1.78E-02,-8.00E-02,2.77E-03,-6.25E-02,-1.81E-02,-5.67E-02,-9.28E-03,-5.67E-02,-1.89E-02,-3.73E+01,0.064857,0.444193,-0.003197,-0.110912,0.010295,0.273035
244,-9.30E-02,-9.47E-02,6.18E-03,4.06E-02,-1.09E-01,-6.53E-03,-4.86E-02,-1.08E-01,-3.68E-02,-1.39E-02,1.05E-02,-1.68E-02,-2.36E-02,-4.89E-02,-4.80E-02,-2.30E+01,0.061632,0.423251,-0.008007,-0.102245,0.012114,0.266711
245,3.91E-02,-1.78E-01,4.46E-02,2.35E-02,-1.67E-01,-1.70E-01,-8.73E-02,4.47E-03,-1.06E-01,-1.82E-02,-3.81E-04,1.39E-02,-5.91E-02,-1.40E-02,-2.05E-02,-2.42E+01,0.06114,0.410678,-0.002162,-0.103867,0.006204,0.252782
246,-1.61E-01,-8.40E-02,9.35E-03,-1.08E-01,-3.09E-03,3.21E-02,-1.10E-01,7.04E-03,-2.50E-02,-6.52E-02,-4.59E-02,-2.68E-02,-2.03E-02,9.08E-03,5.66E-03,-2.87E+01,0.064747,0.457286,-0.010622,-0.114133,0.016085,0.292047
247,-1.76E-01,-1.63E-02,-1.94E-01,-1.42E-01,-6.15E-02,1.39E-02,-8.51E-02,-9.86E-02,-1.04E-01,-3.91E-02,-3.18E-02,-4.06E-02,-4.05E-02,-7.96E-03,-1.05E-02,-4.31E+01,0.06298,0.397214,0.006209,-0.103294,0.002718,0.22813
248,-1.99E-01,3.48E-02,-3.38E-02,-1.22E-02,-5.39E-03,-1.92E-01,-5.85E-02,-1.14E-01,1.84E-04,-5.10E-02,1.50E-03,-2.65E-02,-4.19E-02,-5.81E-02,-5.52E-02,-2.88E+01,0.063445,0.416698,-0.001593,-0.102266,0.007702,0.256262
249,-7.43E-02,4.77E-02,-7.14E-02,-1.81E-01,-1.61E-01,-1.19E-01,-8.50E-02,-7.51E-02,-3.06E-02,-4.06E-02,-5.62E-02,-9.25E-03,-5.81E-02,1.01E-02,-1.66E-03,-4.02E+01,0.065176,0.439366,0.001646,-0.115592,0.006316,0.265502
250,-1.79E-01,-1.91E-01,-2.74E-02,-8.23E-03,-9.46E-02,-5.19E-02,-2.80E-02,-5.45E-03,1.08E-02,-7.14E-02,-3.36E-02,-4.34E-02,-5.80E-02,-1.71E-02,-3.64E-02,-3.87E+01,0.066359,0.45129,-0.002863,-0.113747,0.011477,0.280362
251,3.42E-02,-1.52E-01,-1.72E-01,3.09E-02,-1.82E-01,-1.46E-01,-4.10E-02,-2.03E-03,-1.15E-02,-4.02E-02,-7.89E-02,-7.86E-02,3.24E-03,1.22E-02,-5.85E-03,-3.13E+01,0.061573,0.397379,0.001954,-0.099561,0.003743,0.236786
252,-8.94E-02,-5.20E-03,-9.97E-02,-1.84E-01,-6.52E-02,-1.96E-01,4.12E-04,-7.03E-03,-1.13E-01,-3.43E-02,-6.27E-02,-4.11E-02,-7.91E-04,8.40E-03,1.98E-02,-2.62E+01,0.058418,0.378126,0.004063,-0.096465,0.000917,0.222492
253,4.03E-02,4.51E-02,-1.09E-01,1.00E-02,-1.09E-01,-3.49E-02,1.90E-02,-4.23E-02,-4.04E-02,-4.18E-02,-6.46E-03,1.44E-02,-1.22E-02,-2.79E-02,6.65E-03,-2.22E+01,0.061049,0.44477,-0.008083,-0.11282,0.011015,0.283398
