<ID>,dv_0,dv_1,dv_2,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15, Cx , CY , CZ , CMx , CMY , CMZ 
42,-6.53E-02,-1.27E-01,-1.24E-01,-1.89E-01,-1.36E-01,-1.43E-01,-4.64E-02,-5.26E-02,-9.33E-02,-3.55E-05,-4.97E-02,-4.73E-02,-2.08E-02,-5.32E-02,-2.08E-02,-4.51E+01,0.061122,0.391014,0.010341,-0.102977,-0.001392,0.22018
43,2.62E-02,-8.98E-02,3.15E-02,-1.88E-01,-1.80E-01,-1.56E-01,-1.11E-01,-1.17E-01,-6.57E-02,-5.91E-02,-5.15E-02,-6.73E-02,-3.15E-02,-2.21E-02,-3.23E-02,-3.58E+01,0.064825,0.367017,0.004851,-0.087934,0.003007,0.21091
44,-2.56E-02,-8.49E-02,-1.01E-01,-1.72E-02,-1.38E-01,-1.64E-01,-6.33E-02,-3.94E-02,-1.64E-03,-1.44E-02,-4.01E-03,-3.36E-02,-4.45E-02,-4.53E-02,-4.99E-03,-4.38E+01,0.064097,0.457083,0.003221,-0.122323,0.004595,0.275046
45,-9.89E-02,-1.54E-01,1.06E-02,-1.32E-01,-6.00E-02,-7.65E-03,1.04E-02,-5.69E-03,-5.61E-02,-1.10E-02,-2.14E-02,-5.68E-02,-1.64E-02,-1.37E-02,-8.40E-05,-2.00E+01,0.058984,0.407137,-0.008063,-0.097192,0.011864,0.256047
46,4.53E-02,-1.88E-01,-1.37E-01,-5.56E-02,-8.30E-02,-1.50E-01,-6.76E-02,-1.00E-01,-5.03E-02,1.13E-02,-5.65E-02,-5.59E-02,-5.77E-02,1.92E-02,-3.76E-02,-4.45E+01,0.062398,0.397942,0.008859,-0.10376,-0.000577,0.226531
47,-1.10E-02,-1.25E-01,-1.17E-01,-8.85E-02,-1.22E-01,-1.64E-01,-8.04E-02,-3.44E-02,-3.95E-02,-6.09E-02,-7.52E-02,-9.46E-03,-3.25E-02,-4.19E-02,-4.89E-02,-3.92E+01,0.06486,0.409846,0.005093,-0.104812,0.003327,0.243279
48,-4.49E-02,-1.27E-01,-1.11E-01,-4.03E-02,-8.85E-03,-7.47E-02,-1.08E-01,-5.93E-02,-7.29E-02,-4.67E-02,-4.24E-02,1.34E-03,1.36E-02,-3.96E-02,-3.01E-02,-4.04E+01,0.063575,0.432937,0.002605,-0.113717,0.004765,0.258443
49,-1.88E-01,-7.99E-03,4.90E-02,2.92E-02,-8.23E-02,-1.58E-01,-3.91E-02,1.97E-02,-7.69E-03,1.84E-02,-6.84E-02,-2.74E-03,-5.30E-02,-2.89E-02,-3.43E-02,-3.33E+01,0.064351,0.4587,-0.004375,-0.116201,0.010693,0.287199
50,-9.54E-02,1.47E-02,-1.28E-01,2.47E-02,-1.97E-01,-7.15E-02,-5.46E-02,-1.09E-01,-4.98E-02,1.44E-03,-5.75E-02,-1.45E-02,1.42E-04,-2.03E-02,-5.19E-02,-3.71E+01,0.062362,0.416372,0.002495,-0.106342,0.004144,0.247415
51,-1.08E-01,-1.07E-01,-4.68E-02,-1.43E-02,3.92E-02,-7.39E-02,1.46E-02,-4.78E-02,-6.97E-02,1.78E-02,-1.06E-02,-1.21E-02,-5.86E-02,-9.59E-03,-5.56E-03,-3.22E+01,0.06126,0.439186,-0.002413,-0.112881,0.007866,0.269298
52,-1.99E-01,-9.98E-02,-8.55E-02,-1.81E-02,2.52E-02,-1.42E-01,-3.85E-04,-1.89E-02,-4.67E-02,-1.46E-03,8.82E-03,-6.44E-02,-4.85E-02,-3.80E-02,-4.18E-02,-3.01E+01,0.06002,0.398954,0.00092,-0.097403,0.00511,0.239223
53,-1.29E-01,-5.15E-02,-1.12E-01,-1.49E-01,-3.29E-02,2.04E-02,-1.41E-02,8.61E-04,1.74E-02,-3.99E-02,-2.52E-02,-1.73E-02,-5.30E-02,-5.45E-02,-3.89E-02,-3.57E+01,0.066099,0.470446,-0.006497,-0.118934,0.013955,0.297522
54,-1.14E-01,-8.33E-02,-1.74E-02,-1.05E-01,-7.61E-02,-1.83E-01,-3.23E-02,-1.09E-01,-1.13E-01,-2.73E-02,1.18E-02,-4.13E-02,-2.43E-02,7.44E-03,1.21E-02,-4.86E+01,0.061772,0.419668,0.010643,-0.116536,-0.002023,0.236071
55,-1.30E-01,-1.97E-01,9.87E-03,-1.22E-01,-1.69E-01,-8.67E-03,-6.34E-02,-1.05E-01,-7.72E-02,-3.80E-03,-1.39E-02,-5.77E-02,1.44E-02,1.47E-02,-8.81E-03,-2.87E+01,0.060269,0.405158,-0.002926,-0.10086,0.008012,0.246209
56,-1.70E-01,1.32E-02,-1.89E-01,-1.14E-01,-1.54E-01,-9.58E-02,-4.03E-02,-1.01E-02,-2.96E-02,1.99E-02,-6.81E-02,-2.03E-02,-3.82E-02,2.09E-03,-4.07E-02,-3.52E+01,0.061368,0.426778,0.001415,-0.110114,0.005416,0.258362
57,9.47E-03,-2.28E-02,1.72E-02,-4.35E-02,-5.67E-02,-2.51E-02,4.86E-03,-2.23E-02,-5.30E-02,-6.58E-02,-7.68E-02,-6.53E-02,2.33E-03,-2.96E-02,5.40E-03,-3.78E+01,0.064747,0.426586,-0.002544,-0.105643,0.00928,0.257057
58,-9.58E-02,-1.09E-01,-2.99E-02,-1.75E-01,-4.29E-02,1.48E-02,1.71E-02,-9.49E-02,1.38E-02,-4.08E-02,-6.11E-02,-2.15E-02,-5.99E-02,6.06E-03,-4.25E-02,-4.76E+01,0.066566,0.487565,-0.001932,-0.129308,0.01137,0.300259
59,-1.22E-01,-6.47E-02,-1.36E-01,-1.33E-01,-1.19E-01,-4.40E-02,-1.04E-01,1.11E-02,-8.31E-02,-3.56E-02,-6.24E-02,-4.15E-02,1.54E-02,-2.29E-02,-2.85E-02,-3.99E+01,0.062008,0.407935,0.003503,-0.10445,0.00419,0.239705
60,-1.04E-01,-1.73E-01,-5.69E-02,-1.37E-01,4.42E-02,-3.40E-02,-6.05E-02,-1.04E-01,1.45E-02,-2.45E-03,1.58E-02,-3.71E-02,-1.20E-02,-3.07E-02,9.18E-03,-2.60E+01,0.061867,0.45172,-0.008124,-0.114098,0.012919,0.288372
61,-1.73E-01,-5.06E-02,-1.59E-01,4.53E-02,1.82E-02,-8.48E-02,-1.01E-01,9.22E-03,-4.99E-03,-1.75E-02,-1.56E-02,-5.49E-02,1.64E-02,-3.65E-02,-1.47E-02,-4.79E+01,0.062618,0.476493,0.002226,-0.129242,0.005651,0.286292
62,-5.75E-02,-1.45E-01,-1.02E-02,-1.41E-01,-1.90E-01,2.28E-02,-3.35E-02,-5.76E-02,-8.74E-02,1.23E-02,-4.63E-02,-4.02E-02,-1.55E-03,-3.59E-02,-3.85E-02,-2.55E+01,0.060084,0.394294,-0.004158,-0.094469,0.008912,0.240192
63,-5.67E-02,-1.67E-01,-1.95E-01,-2.69E-03,-1.46E-01,2.75E-02,-6.88E-02,-1.06E-01,-5.08E-02,-1.31E-02,8.09E-03,4.94E-03,-2.84E-02,-1.27E-02,8.42E-03,-2.33E+01,0.060207,0.427341,-0.005104,-0.109762,0.009422,0.269188
64,-1.44E-01,-6.68E-02,-1.37E-01,-1.28E-01,-3.25E-03,-1.48E-01,-3.83E-02,-2.12E-02,-4.30E-02,1.04E-02,-2.06E-02,1.06E-02,7.16E-03,-2.57E-02,-5.00E-02,-2.89E+01,0.059711,0.434615,-0.000717,-0.112518,0.005806,0.268996
65,-8.61E-02,1.17E-02,-1.38E-02,-1.03E-01,-7.87E-02,4.00E-02,-8.30E-02,-1.09E-01,-9.25E-02,-1.26E-02,-2.75E-02,-8.53E-03,-5.72E-02,-8.68E-03,-2.01E-02,-4.14E+01,0.065099,0.436877,-0.001039,-0.11241,0.008557,0.261809
66,1.20E-02,-4.42E-02,4.18E-03,-2.12E-02,4.13E-03,1.81E-02,-1.13E-01,-3.80E-02,-7.39E-02,-7.99E-02,-2.45E-02,-8.73E-04,8.58E-03,-1.68E-02,1.77E-02,-4.13E+01,0.066251,0.472236,-0.004113,-0.12483,0.010827,0.289537
67,-1.83E-01,8.97E-03,2.91E-02,-1.38E-01,-8.36E-02,-1.66E-01,-5.27E-02,1.68E-02,-4.02E-03,-1.23E-02,-1.58E-02,-6.91E-02,-3.09E-02,-2.65E-02,1.41E-02,-2.15E+01,0.060071,0.415606,-0.006304,-0.100961,0.010537,0.26188
68,-2.94E-02,-1.58E-01,-1.75E-01,-1.36E-01,1.63E-02,-1.29E-01,-6.29E-03,6.27E-03,1.10E-03,-5.30E-02,-5.29E-02,-7.53E-02,-4.70E-02,-2.13E-03,-9.84E-03,-3.90E+01,0.063532,0.42321,0.002666,-0.108108,0.005299,0.254047
69,-1.11E-01,-1.90E-01,-7.93E-02,-1.23E-01,7.31E-03,6.32E-04,-1.02E-01,-6.49E-02,-9.35E-02,1.54E-02,-2.50E-02,-6.03E-02,6.47E-04,1.66E-02,-3.17E-02,-4.54E+01,0.061145,0.418201,0.00394,-0.109205,0.003919,0.242112
70,-1.90E-01,2.86E-02,-8.78E-02,3.25E-02,-7.66E-02,-5.82E-02,-5.90E-02,-3.48E-02,-7.34E-02,-5.41E-02,-7.37E-02,8.58E-03,-4.26E-03,-6.88E-03,8.87E-04,-2.82E+01,0.062095,0.429936,-0.003542,-0.109998,0.008779,0.266228
71,-1.23E-01,-8.81E-02,-6.60E-02,-5.09E-02,4.45E-03,-1.24E-01,-5.18E-02,-9.55E-02,-1.12E-01,-7.50E-02,-4.41E-02,-4.26E-02,1.43E-02,1.40E-03,7.94E-03,-4.46E+01,0.062818,0.404286,0.008553,-0.108383,0.00004,0.229647
72,-6.94E-02,7.68E-03,-6.97E-02,2.11E-02,-7.27E-02,-3.25E-02,-9.69E-02,1.26E-02,-5.94E-02,1.32E-02,6.84E-03,-5.62E-03,-7.84E-03,-1.69E-02,-5.92E-02,-4.17E+01,0.062684,0.471624,-0.001673,-0.124379,0.007831,0.28709
73,-5.96E-02,-1.03E-01,-1.18E-01,-1.92E-01,-3.53E-02,-9.97E-02,-3.07E-02,-6.34E-02,5.35E-03,-5.77E-02,-1.21E-02,-7.70E-02,8.73E-03,1.54E-02,-1.92E-03,-2.46E+01,0.06011,0.412253,-0.003726,-0.10218,0.008448,0.255996
74,-1.40E-01,-1.87E-01,-1.82E-01,-8.77E-02,-6.00E-02,-1.48E-01,-1.05E-01,1.45E-02,1.89E-02,-2.06E-02,-5.18E-02,2.25E-03,-5.69E-03,-3.12E-02,-5.80E-03,-4.63E+01,0.064745,0.489431,0.002994,-0.136144,0.005904,0.299392
75,-1.06E-01,-2.75E-03,-1.35E-01,2.57E-02,-1.71E-01,-7.66E-02,-5.60E-02,-9.34E-02,-2.37E-03,-5.68E-02,-6.88E-02,-5.51E-02,-5.89E-02,1.83E-02,-3.15E-02,-2.49E+01,0.062394,0.394347,-0.002752,-0.095112,0.008149,0.241351
76,-1.62E-01,-8.19E-02,-4.94E-02,-4.29E-03,-1.03E-01,-1.58E-02,-9.46E-02,-4.00E-02,-4.75E-02,-6.44E-03,-2.01E-02,-7.07E-02,9.63E-03,9.51E-03,-2.88E-02,-3.82E+01,0.062092,0.42501,-0.000882,-0.106783,0.007549,0.25491
77,-1.75E-01,-1.69E-01,-3.04E-02,-3.69E-02,-5.39E-02,-1.17E-01,-3.97E-02,-7.35E-02,-8.09E-02,9.82E-03,-7.62E-02,-6.85E-02,-4.77E-02,1.33E-03,-4.32E-02,-2.56E+01,0.059828,0.359524,0.001722,-0.084248,0.004157,0.210575
78,-1.09E-01,-7.80E-02,4.65E-02,4.23E-02,-5.29E-02,-1.32E-01,-9.12E-03,-4.05E-02,8.13E-03,-2.02E-03,-1.95E-02,-5.13E-02,-8.96E-03,-4.57E-02,-3.48E-02,-4.73E+01,0.063972,0.483641,-0.000007,-0.128272,0.007889,0.293638
79,-5.52E-02,-7.12E-02,-6.13E-02,-1.43E-03,-7.35E-03,-1.09E-01,-1.02E-01,-1.24E-02,-3.79E-02,-1.47E-02,1.86E-02,-3.04E-02,-4.40E-02,-1.49E-02,1.39E-02,-4.65E+01,0.063539,0.477356,0.001493,-0.13026,0.00593,0.287072
