Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
20,0.335833333,0.1152,0.107509959,-0.149190703,0.097077207,-0.183085599,-0.040347274,-0.035079307,-0.188637677,-0.110120358,0.012225397,-0.147788021,0.152874939,0.115193944,0.150301879,0.246798276,0.280712254,0.348636258,0.374970352,0.207623814,0.271853323,0.204875865,0.058817734,0.221854212,0.134821068,0.110508313,0.051666189,-0.00937117,0.08777347,0.094930353,1.010029424,3.735268689,-22.07047367,3.796625853,0.740807516,3.73884179,1.49E-05,0.001860338,-0.000362384,21.7007735,13.365136
21,-0.027777778,0.006,0.011272582,-0.214213442,-0.243721242,0.073882538,-0.10210103,-0.007994376,-0.027262621,-0.054879735,0.003248365,-0.054489464,-0.051077416,-0.06465597,0.347082283,0.107161118,0.136410243,0.365037785,0.106320055,0.102026557,0.00259297,0.201457106,0.052245193,0.213412052,0.068393418,0.007321352,0.104691907,-0.014206361,0.117758794,0.084565233,1.143657709,4.26889003,-24.92700366,4.338268757,0.83717578,4.28763388,0.000442211,0.001855303,-0.003974682,24.6484066,12.161222
22,0.396944444,0.3,0.019446244,-0.037863628,0.037655701,0.127947562,0.056574279,-0.084622684,0.012814589,-0.170380356,-0.059424332,-0.032454321,0.008809408,-0.024898475,0.255590917,-0.017445365,0.097029199,0.280491722,0.202163471,0.133026105,0.080541387,0.060912916,-0.03038987,0.223779204,0.067929484,0.065585302,-0.043145071,0.0017148,0.000257004,-0.00591848,0.867396881,3.802488949,-22.07397729,3.853732824,0.595310946,3.80887341,-3.80E-05,0.001493307,0.000289738,21.8005752,10.375722
23,0.051666667,-0.0402,0.042865083,-0.200546852,0.010808882,0.042726666,-0.12665992,-0.05820642,0.059959579,-0.083201963,-0.037733374,-0.145280165,0.07969946,-0.044479657,0.206535724,0.28792375,0.112362136,0.322399754,0.287369828,0.023509987,0.063001704,0.192290246,0.120803086,-0.030845658,0.132255118,0.054133948,0.017278808,0.031569164,-0.013150062,0.071759555,1.139267458,4.241609645,-25.08713485,4.310748577,0.834577263,4.25797793,-0.00019901,-7.85E-06,0.002011737,24.783185,12.057324
24,-0.113333333,0.1656,-0.072426412,-0.099189186,-0.219101775,0.137509636,-0.008821066,0.071414981,-0.111043928,-0.048303425,-0.054007415,-0.0909757,-0.062053244,0.26261933,0.326902648,0.388236902,0.2280324,0.342543319,0.098197081,0.272042627,-0.024004124,0.157382893,0.06392145,0.175828716,0.183680241,0.016525504,0.049553579,0.168242955,0.074285598,-0.002424453,1.098277172,4.031755239,-23.85576897,4.098546028,0.807250192,4.04873264,6.15E-05,0.002069151,5.09E-05,23.5840954,13.076271
25,0.305277778,0.0102,0.053031885,0.155837562,0.026200231,0.053836965,-0.149562861,0.060155309,-0.174656685,-0.038950514,0.009088534,0.010751559,0.102819323,0.453240326,0.303697015,0.188432239,0.209730206,0.241619495,-0.019446977,0.115455108,0.194935534,0.222039886,0.281693719,0.287556055,0.014235064,0.021725341,-0.021759274,0.049213242,0.052160858,-0.015302818,0.874034453,3.493367973,-19.88783556,3.545827866,0.623982979,3.5183094,-0.000110423,0.000477002,0.00093499,19.7331261,11.992681
26,-0.033888889,0.1824,0.199024339,-0.051585246,-0.112092088,-0.184244346,-0.040571954,0.022127862,-0.083242491,-0.183449463,-0.112823098,0.018615768,0.445947866,0.342147519,0.148329207,0.110495238,0.305795158,0.340448641,0.153122777,0.296633689,0.065659509,0.111234731,0.134001799,0.021369598,0.123310055,0.020204224,0.146509348,0.16188883,-0.000240599,0.047929405,1.128565303,3.897081483,-22.86541733,3.966313124,0.848255085,3.92365395,6.66E-05,0.002922272,-0.000935752,22.6200692,13.272586
27,0.201388889,0.1572,0.122102815,-0.050315654,-0.085133965,0.11857591,-0.045777893,-0.080004475,-0.061587912,-0.092811834,-0.124768343,-0.100646377,0.299219469,0.374083509,0.043743114,0.137501705,0.311022625,0.293246745,0.020929698,0.389772118,0.278823524,0.237883928,-0.006398926,0.224354006,0.131630888,0.050621857,0.132448554,0.115008836,-0.029338592,-0.001722543,1.005615394,3.717405402,-21.90181949,3.778498173,0.737895241,3.74106448,6.75E-05,0.001033173,-0.000391226,21.7066406,12.893291
28,-0.058333333,-0.0696,0.140140344,-0.115859455,0.06101132,0.017515317,-0.087506691,-0.114208291,-0.00738091,-0.029189122,-0.119815876,-0.144307103,-0.05742762,0.254710182,0.013445303,0.285905964,0.05152706,-0.029751982,0.350684498,0.090087929,0.10807165,0.21716898,0.151997012,0.002623008,-0.019382906,0.139664317,-0.017207383,0.142979395,0.109049427,0.084734604,1.116234113,4.323977698,-25.78502608,4.391309261,0.803732746,4.332075,9.56E-05,0.001539115,-0.000618398,25.4529932,11.813551
29,0.387777778,0.2412,0.031671049,0.237286534,0.093460988,0.029395031,0.090404305,0.070846645,-0.021606794,-0.085706956,-0.095905191,-0.047100783,0.234287371,0.481743113,0.219428795,0.350787157,0.053349471,0.339969232,-0.032518215,0.255851116,-0.048710063,0.053473956,0.013763786,0.156157475,0.105637249,0.039797709,0.088103018,0.095734214,0.140758336,0.095795585,0.724413462,3.10243204,-17.17586127,3.1454072,0.501899618,3.11556807,9.78E-05,0.001931334,-0.00040161,17.0213937,11.25653
