Id,ratio[0],ratio[1],ratio[2],ratio[3],ratio[4],ratio[5],ratio[6],ratio[7],ratio[8],ratio[9],ratio[10],ratio[11],ratio[12],ratio[13],ratio[14],ratio[15],ratio[16],ratio[17],ratio[18],ratio[19],ratio[20],ratio[21],ratio[22],ratio[23],ratio[24],ratio[25],ratio[26],ratio[27],ratio[28],ratio[29],ratio[30],ratio[31],ratio[32],ratio[33],ratio[34],ratio[35],ratio[36],ratio[37],cd,cl,cm,cy,Cx,Cy,Cz,Cmx,Cmy,Cmz,Volume
10,0.115833333,0.0984,0.110653581,-0.208460892,-0.094227569,-0.149824085,0.141197372,-0.066896443,-0.115006756,-0.071325861,-0.118975723,-0.025009279,0.191235766,-0.002797278,0.110511556,0.356775096,0.033724749,0.338231901,0.174557389,0.225282358,0.193487889,0.235860312,0.228731727,0.128746049,-0.01378978,0.036216025,0.134189335,-0.024154711,0.061211469,-0.002081674,-0.008006625,-0.086054945,-0.051544432,-0.1743929,-0.161054712,-0.089346717,-0.047245619,-0.07742383,1.043986437,3.627242935,-20.39878336,3.691231966,0.782508936,3.68026059,6.22E-05,0.002554961,-0.000800655,20.3906542,13.083839
11,-0.021666667,0.0018,0.068030749,-0.049128736,0.015937615,-0.112396137,-0.038470618,-0.065979684,-0.014501141,-0.005306873,-0.000561402,-0.104337348,0.235832254,-0.071629897,0.173645909,0.09506189,0.24387384,0.345361072,0.29304574,0.172715494,0.192338603,0.176510808,0.257132893,0.020434248,0.013451173,0.160810239,0.149381091,0.036978072,0.052406783,0.098263743,0.07792696,-0.078771349,-0.036211587,-0.188039596,-0.073492808,-0.144101826,0.013952353,-0.033099606,1.057345745,3.578029889,-20.14176209,3.643070698,0.798303659,3.62760964,-7.98E-05,0.003368871,0.000621608,20.084787,12.981675
12,-0.088888889,0.2286,0.037292817,0.073691825,0.092085534,-0.118063611,0.108177701,0.055173516,-0.169461525,-0.004890108,-0.136533529,-0.125658922,0.160810868,0.218239497,0.186586075,0.164586089,0.03921669,0.242171262,0.176564525,0.175014567,0.259211171,0.053729172,0.234064022,0.177207311,0.148500223,0.18539024,0.148718436,0.196502791,0.058787372,0.056203298,0.073026115,0.064193636,0.03972169,0.012974875,-0.150528033,0.00369908,-0.093129185,-0.081177886,1.020862053,3.619385481,-20.94366538,3.681780577,0.757990118,3.64932355,-1.82E-05,0.001400687,0.000137917,20.7598501,12.538575
13,0.231944444,0.174,-0.023479812,0.188187605,-0.244653406,-0.103007409,-0.014594589,0.064663136,-0.033274935,0.000423661,-0.017780749,-0.100751884,0.084288565,-0.032409918,0.116884905,-0.062412202,0.083360339,0.302627885,-0.011228914,-0.021148915,-0.01029449,-0.000905822,-0.029705722,-0.021468088,0.113399856,0.183471878,0.126374165,0.053658729,0.137785402,0.042115506,-0.005882386,0.023331985,0.041297801,-0.046874734,0.003344776,-0.077783674,-0.085905645,-0.075031316,0.816310198,3.415336122,-18.08096846,3.463959455,0.572028533,3.46471113,7.11E-06,0.001666675,-8.15E-05,18.1556301,9.988969
14,-0.052222222,-0.0318,-0.028491918,-0.041957219,0.00246059,0.094414538,-0.1349468,0.039218317,-0.038244838,-0.192353694,-0.114015517,-0.134718385,0.477116929,0.353298732,0.130133263,0.353773327,-0.020085604,0.31594078,0.355440138,0.060229264,0.272456481,0.126266759,0.22113927,0.201903801,0.065333463,0.160033718,0.1632527,0.067890203,-0.026773846,0.065515517,-0.047247163,0.066366177,0.041874113,-0.041238139,-0.148928212,-0.054595048,-0.098327588,-0.035727412,1.208598541,3.832258232,-22.83142448,3.907230616,0.928142517,3.85173119,3.07E-05,0.00132378,0.000195754,22.4803623,14.146298
15,-0.0675,-0.0822,0.127801256,0.099194219,-0.00524137,-0.176957426,-0.060641408,-0.015918654,-0.18383213,-0.136118584,-0.087994044,-0.057716791,0.088444265,0.370210854,0.375436935,0.223603649,0.25613891,0.166140743,0.366652817,0.167060759,0.182623705,0.176280288,0.006211468,-0.009588225,0.083877832,0.04907457,-0.014947723,0.196673961,0.011797228,0.030808886,0.021092904,0.099242292,-0.158731342,-0.154665126,-0.155069737,-0.022287995,-0.0508155,-0.098939683,0.99623224,3.910176093,-22.71981266,3.970144749,0.715498782,3.91958085,8.86E-05,0.002630236,-0.000372733,22.4245245,13.67972
16,-0.1225,0.1362,0.044718105,0.239066683,-0.179329767,-0.086244848,-0.139770822,0.106268538,-0.133317999,-0.043423337,0.014784892,-0.02901334,0.21419909,0.226873166,0.439367284,-0.017001645,0.301563319,0.152423451,-0.019083884,0.376908402,0.244048826,0.240170393,-0.049141996,0.13648618,-0.012132547,0.18197662,-0.046773353,0.025976942,0.091924162,0.007108832,-0.016396881,-0.056613788,0.043642339,-0.06429903,-0.108497276,-0.131412172,-0.024583696,0.008084742,0.974687313,3.827038626,-22.35558679,3.885706902,0.699890338,3.8408374,-7.92E-05,0.001023822,0.000556486,22.1082148,12.744476
17,0.231944444,-0.0486,0.051094673,0.256128105,0.124814601,0.165271665,0.118379219,0.014192592,-0.18635816,-0.101034755,-0.148890998,-0.092304592,0.347282386,0.001707693,0.113541509,-0.075136708,-0.011184444,0.249207453,-0.015807445,0.032300005,0.178320796,0.15019446,0.057992417,0.137762274,0.024481043,0.184682171,0.163496283,0.137781468,0.081662652,0.00768382,0.079285988,0.043071277,-0.186012515,-0.087751139,-0.084638654,-0.09326295,0.001137815,-0.089423727,0.802811977,3.115298449,-16.50774778,3.163711071,0.577616703,3.1612314,4.38E-05,0.00328829,-0.000204128,16.579161,10.448915
18,-0.134722222,0.1614,-0.024020576,-0.11142123,-0.149700287,0.135992856,-0.061191698,-0.061700105,-0.020515173,-0.068682761,-0.143962267,-0.030341972,-0.074177818,0.187990529,0.050924878,0.002819855,0.180022415,-0.012898534,0.31215312,-0.035413686,0.275257175,0.065209341,0.219025916,0.189104008,0.01188312,0.058483177,0.104660135,-0.03273419,0.096263272,0.092264994,0.016339036,0.088349087,-0.094960109,-0.067043322,-0.130587124,-0.082912427,-0.092665327,-0.009777439,1.161577264,4.35478956,-25.80355216,4.425209045,0.846554507,4.36483517,6.60E-06,0.000690787,-0.00026274,25.4532264,11.70843
19,0.011944444,-0.0948,0.022556624,0.196625175,-0.055281392,0.125368397,0.112079846,-0.005505908,0.044487089,0.008467601,-0.029603992,-0.139341652,0.371192368,0.227941274,0.001724553,0.227909639,-0.043997797,-0.045481781,-0.042441263,0.103513736,0.299666708,-0.026786102,0.018855625,0.199009772,0.048330674,0.168503565,0.01979392,-0.018678616,-0.004381206,0.028553433,0.027118184,-0.068720916,-0.099137649,-0.011417661,-0.07720011,-0.06276797,-0.003205241,-0.016402076,0.850008864,3.49285135,-19.4841453,3.54363656,0.59850527,3.5354041,7.21E-05,0.002561859,-0.00027222,19.4655891,11.089385
20,0.271666667,0.0102,0.168980074,-0.171536769,0.143374537,0.086639821,0.111706747,-0.102807168,-0.096833592,-0.137812061,-0.017115584,-0.067793131,-0.089719437,0.403996383,0.196219071,0.102424266,0.146081744,0.259191029,0.153894935,0.133686878,0.037169349,-0.007025281,0.090947145,0.107232455,0.132775849,0.19670255,-0.03288929,-0.013186637,0.055485843,-0.01860833,-0.047822699,-0.077397065,-0.179467259,-0.140310583,-0.08859212,-0.026416604,-0.113994024,-0.052867149,0.959069103,3.88603467,-22.51579221,3.943469763,0.680380559,3.8989117,5.12E-05,0.001608745,-0.000235633,22.2428805,11.751971
21,0.357222222,0.0396,0.080102875,-0.064549789,0.121962247,-0.054291705,0.107024171,-0.058661694,-0.063324094,-0.020415735,-0.107372503,-0.131716325,0.316173221,0.037072503,0.318918626,0.204359124,0.061544787,0.186847753,0.276393806,0.108160801,0.109213482,0.043482408,-0.045948844,0.196916424,0.177769179,0.141885778,0.04780615,-0.039903003,0.100860368,-0.006580614,0.002714251,0.004149798,0.011625504,-0.133939844,-0.059127719,-0.072446282,-0.0180476,-0.000116671,0.849682037,3.545122641,-20.02721376,3.595757723,0.596054913,3.56249724,-3.70E-05,6.12E-05,0.000297039,19.8583126,11.964604
22,-0.091944444,0.1866,0.165251454,0.058662349,-0.044327819,-0.010242106,-0.043084648,0.059615557,-0.003673065,-0.115752354,0.011842467,-0.128093831,-0.078195818,0.118734264,0.435051552,0.360009446,0.081743638,0.373729546,0.162626429,0.20195412,0.020894163,0.116985819,0.298593975,0.044361865,-0.008459209,0.097371391,0.120741159,-0.017198978,0.11513596,0.089169141,0.054482306,-0.090825749,-0.196026305,-0.137165723,-0.071248637,0.01743495,-0.025318355,0.009374761,1.101102887,3.778412568,-21.89960958,3.846017599,0.827381585,3.8049898,-0.0001032,0.001458315,0.001053515,21.6745905,12.483082
23,0.079166667,0.2538,0.138347196,0.159753899,0.195533525,0.010298185,0.078067098,-0.030718697,-0.164270753,-0.150302456,-0.002754589,-0.047884408,0.320904873,-0.064777798,0.269498462,0.304302266,0.254526938,0.043778275,0.018442783,0.163547467,0.241353728,0.204990948,0.024755924,0.033776263,0.085073478,0.037752432,0.065643085,0.198849846,0.140158501,0.068681894,0.02928398,0.023574796,-0.019686068,-0.15806689,-0.012851944,0.013196656,0.012535933,-0.067391106,0.927841491,3.65520523,-21.48465583,3.711024284,0.664076828,3.66723092,-0.000112582,0.001513891,0.000739339,21.2230608,10.847724
24,0.225833333,-0.0738,0.026704271,0.131592992,-0.158403439,-0.066302108,-0.101764103,-0.014762474,-0.163010828,-0.117966905,0.025321869,-0.06524032,0.162459988,0.242781458,0.048449386,0.320646026,0.200567857,0.360645219,0.032222613,0.217561165,0.111667177,0.13092076,0.022057491,0.18187487,0.172104994,0.060615568,-0.016002154,0.141148786,0.116673559,-0.000564374,-0.021865737,0.00833243,-0.095897694,0.015801894,-0.063661835,-0.100463058,-0.047228004,-0.036193994,0.94224993,3.584749806,-20.01675412,3.641745567,0.683954546,3.60985958,6.73E-05,0.001208005,-6.35E-05,19.8606674,12.753428
